"rank_adp","pos","prediction","value"
1,"RB",18.030311404014,0.145062586901059
2,"RB",17.8852488171129,0.145052900115274
3,"RB",17.7401959169976,0.145027147758938
4,"RB",17.5951687692387,0.144978158330311
5,"RB",17.4501906109084,0.144899356386674
6,"RB",17.3052912545217,0.144784752329343
7,"RB",17.1605065021924,0.144628931524956
8,"RB",17.0158775706674,0.14442704264113
9,"RB",16.8714505280263,0.144174785096798
10,"RB",16.7272757429295,0.14386839554987
11,"RB",16.5834073473796,0.143504633366767
12,"RB",16.4399027140129,0.143080765038953
13,"RB",16.2968219489739,0.142594547531928
14,"RB",16.154227401442,0.142044210570585
15,"RB",16.0121831908714,0.14142843788477
16,"RB",15.8707547529866,0.140746347453758
17,"RB",15.7300084055329,0.139997470805925
18,"RB",15.5900109347269,0.139181731444383
19,"RB",15.4508292032826,0.138299422482389
20,"RB",15.3125297808002,0.137351183584187
21,"RB",15.175178597216,0.136337977318401
22,"RB",15.0388406198976,0.135261065039481
23,"RB",14.9035795548581,0.134121982420199
24,"RB",14.7694575724379,0.13292251476452
25,"RB",14.6365350576734,0.131664672234926
26,"RB",14.5048703854385,0.130350665129635
27,"RB",14.3745197203088,0.128982879348596
28,"RB",14.2455368409602,0.127563852184561
29,"RB",14.1179729887757,0.126096248575816
30,"RB",13.9918767401998,0.12458283795203
31,"RB",13.8672939022478,0.123026471801643
32,"RB",13.7442674304462,0.121430062081739
33,"RB",13.6228373683644,0.119796560585325
34,"RB",13.5030408077791,0.118128939371845
35,"RB",13.3849118684073,0.116430172357123
36,"RB",13.2684816960501,0.114703218149479
37,"RB",13.1537784779007,0.112951004206426
38,"RB",13.0408274736942,0.111176412375205
39,"RB",12.929651061319,0.109382265867783
40,"RB",12.8202687954513,0.107571317707933
41,"RB",12.7126974777433,0.105746240674762
42,"RB",12.6069512370686,0.103909618754788
43,"RB",12.5030416183138,0.10206394009897
44,"RB",12.4009776782148,0.100211591471513
45,"RB",12.3007660867433,0.0983548541604424
46,"RB",12.2024112325828,0.096495901310778
47,"RB",12.1059153312721,0.0946367966271175
48,"RB",12.0112785346449,0.0927794943818423
49,"RB",11.9184990402631,0.0909258406547
50,"RB",11.8275731996084,0.0890775757198661
51,"RB",11.7384956238885,0.0872363374869618
52,"RB",11.6512592864016,0.0854036658962709
53,"RB",11.5658556205053,0.0835810081604382
54,"RB",11.4822746123449,0.0817697247406368
55,"RB",11.4005048876042,0.079971095939289
56,"RB",11.3205337916649,0.0781863289908316
57,"RB",11.2423474626741,0.0764165655278823
58,"RB",11.1659308971462,0.0746628893009778
59,"RB",11.0912680078453,0.0729263340310258
60,"RB",11.0183416738142,0.0712078912741543
61,"RB",10.9471337825401,0.0695085181837563
62,"RB",10.8776252643563,0.0678291450574413
63,"RB",10.8097961192989,0.066170682562646
64,"RB",10.7436254367362,0.0645340285409137
65,"RB",10.6790914081953,0.0629200742987805
66,"RB",10.6161713338965,0.0613297103004733
67,"RB",10.5548416235961,0.0597638311881425
68,"RB",10.4950777924079,0.0582233400634085
69,"RB",10.4368544523445,0.056709151975733
70,"RB",10.3801453003688,0.0552221965729576
71,"RB",10.3249231037958,0.0537634198807453
72,"RB",10.2711596839151,0.0523337851884893
73,"RB",10.2188258987266,0.0509342730315989
74,"RB",10.167891625695,0.0495658802696894
75,"RB",10.1183257454253,0.0482296182732149
76,"RB",10.0700961271521,0.0469265102399703
77,"RB",10.0231696169121,0.0456575876754961
78,"RB",9.97751202923661,0.0444238860791
79,"RB",9.93308814315751,0.0432264398885049
80,"RB",9.88986170326901,0.0420662767436504
81,"RB",9.84779542652536,0.0409444111384261
82,"RB",9.80685101538693,0.0398618375364208
83,"RB",9.76698917785051,0.038819523032231
84,"RB",9.72816965481828,0.0378183996459001
85,"RB",9.69035125517238,0.036859356341413
86,"RB",9.65349189883097,0.0359432308638308
87,"RB",9.61754866796714,0.0350708014911962
88,"RB",9.58247786647594,0.0342427787988235
89,"RB",9.54823508767712,0.0334597975328972
90,"RB",9.51477529014422,0.0327224086893541
91,"RB",9.48205288145487,0.0320310718917849
92,"RB",9.45002180956308,0.0313861481588162
93,"RB",9.41863566140426,0.0307878931471084
94,"RB",9.38784776825716,0.0302364509507704
95,"RB",9.35761131730639,0.0297318485327889
96,"RB",9.3278794687736,0.0292739908562645
97,"RB",9.29860547791733,0.0288626567766102
98,"RB",9.26974282114072,0.0284974957475157
99,"RB",9.24124532539321,0.0281780253848982
100,"RB",9.21306730000831,0.0279036299243192
101,"RB",9.18516367008399,0.0276735595978188
102,"RB",9.15749011048617,0.0274869309470738
103,"RB",9.1300031795391,0.0273427280795175
104,"RB",9.10266045145958,0.0272398048654789
105,"RB",9.0754206465941,0.0271768880640071
106,"RB",9.04824375853009,0.0271525813565106
107,"RB",9.02109117717358,0.0271653702578458
108,"RB",8.99392580691574,0.0272136278666562
109,"RB",8.96671217904908,0.0272956214078608
110,"RB",8.93941655764122,0.0274095195135331
111,"RB",8.91200703812769,0.0275534001810112
112,"RB",8.88445363794668,0.0277252593412154
113,"RB",8.85672837860546,0.0279230199648381
114,"RB",8.82880535864062,0.0281445416293717
115,"RB",8.80066081701125,0.0283876304661224
116,"RB",8.77227318654513,0.0286500494043729
117,"RB",8.74362313714076,0.0289295286264313
118,"RB",8.71469360851432,0.029223776148207
119,"RB",8.68546983236612,0.0295304884380769
120,"RB",8.65593934392804,0.0298473609890095
121,"RB",8.62609198293903,0.0301720987597296
122,"RB",8.5959198841793,0.0305024264037321
123,"RB",8.56541745777557,0.0308360982080416
124,"RB",8.53458135956753,0.031170907668038
125,"RB",8.50341045189949,0.0315046966287547
126,"RB",8.47190575527073,0.0318353639297779
127,"RB",8.44007039134096,0.0321608734954051
128,"RB",8.40790951784555,0.0324792618194429
129,"RB",8.37543025602611,0.0327886448001724
130,"RB",8.34264161122594,0.0330872238887938
131,"RB",8.30955438733714,0.0333732915218192
132,"RB",8.27618109581532,0.0336452358155945
133,"RB",8.24253585999973,0.0339015445091349
134,"RB",8.20863431549059,0.0341408081487966
135,"RB",8.1744935073418,0.0343617225161825
136,"RB",8.14013178482561,0.0345630903079428
137,"RB",8.10556869451767,0.034743822083497
138,"RB",8.07082487243417,0.0349029365031708
139,"RB",8.035921935931,0.0350395598860267
140,"RB",8.00088237604498,0.0351529251223663
141,"RB",7.96572945092261,0.03524236998107
142,"RB",7.93048708094154,0.0353073348573432
143,"RB",7.8951797460842,0.0353473600096947
144,"RB",7.8598323860745,0.0353620823394696
145,"RB",7.82447030373503,0.0353512317678621
146,"RB",7.78911907196717,0.0353146272686606
147,"RB",7.75380444469851,0.035252172615178
148,"RB",7.71855227208333,0.0351638519012081
149,"RB",7.68338842018212,0.0350497248951349
150,"RB",7.64833869528699,0.0349099222861273
151,"RB",7.61342877300086,0.0347446408791141
152,"RB",7.57868413212175,0.0345541387936406
153,"RB",7.54412999332811,0.0343387307187042
154,"RB",7.5097912626094,0.0340987832721771
155,"RB",7.47569247933723,0.0338347105098791
156,"RB",7.44185776882735,0.0335469696246751
157,"RB",7.40831079920267,0.0332360568719707
158,"RB",7.3750747423307,0.0329025037513979
159,"RB",7.3421722385793,0.0325468734715546
160,"RB",7.30962536510775,0.0321697577167273
161,"RB",7.27745560739102,0.0317717737307399
162,"RB",7.24568383366028,0.0313535617263909
163,"RB",7.21433027193389,0.0309157826240352
164,"RB",7.18341448930986,0.0304591161167345
165,"RB",7.15295537319312,0.0299842590548289
166,"RB",7.12297111413829,0.029491924136912
167,"RB",7.09347919000138,0.0289828388902684
168,"RB",7.06449635111111,0.0284577449186889
169,"RB",7.03603860619242,0.0279173973922431
170,"RB",7.00812120880018,0.0273625647496685
171,"RB",6.98075864405051,0.0267940285812847
172,"RB",6.95396461546923,0.0262125836576477
173,"RB",6.92775203181158,0.0256190380676475
174,"RB",6.90213299374393,0.0250142134282783
175,"RB",6.87711878031565,0.0243989451271807
176,"RB",6.85271983518847,0.0237740825600143
177,"RB",6.82894575262846,0.0231404893241391
178,"RB",6.80580526330432,0.0224990433319077
179,"RB",6.78330621997241,0.0218506368079225
